Question	Option A	Option B	Option C	Option D
Which MITRE ATT&CK technique does the use of PowerSploit's Install-SSP module to install a malicious SSP DLL fall under?,T1547.001, Boot or Logon Autostart Execution: Security Support Provider, T1059.005, Command and Scripting Interpreter: Windows Command Shell, T1055.003, Process Discovery: Windows Management Instrumentation (WMI), T1059.007, Command and Scripting Interpreter: PowerShell,D,The use of PowerShell to install an SSP DLL directly aligns with the PowerShell command interpreter and T1059.007. The other options are not specific to PowerShell or SSP installation.,				
What is a potential mitigation strategy against the exploitation of Security Support Providers (SSPs) in Windows versions prior to 8.1 and Server 2012 R2?,Enforcing multi-factor authentication,Disabling the Local Security Authority (LSA),Enabling Protected Process Light (PPL) for the LSA, Implementing intrusion detection systems,C,Enabling PPL for the LSA, while not directly applicable to older versions, is the most relevant mitigation as it prevents unsigned SSP DLLs from loading into the LSA. Other options are not specific to this threat vector.,				
What is the purpose of setting the Registry key HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\LSASS.exe with AuditLevel = 8 in Windows 8.1 and Server 2012 R2?,To prevent unauthorized access to the LSA,To restrict the use of unsigned SSP DLLs,To limit the number of processes that can access the LSA, To enforce mandatory code signing for all system executables,B,Setting AuditLevel = 8 specifically targets the monitoring of unsigned SSP DLLs loading into the LSA, effectively restricting their use.,				
Which of the following describes a potential detection method for the abuse of Security Support Providers (SSPs) in a Windows environment?,Monitoring for changes in the Local Security Authority (LSA) process memory, Monitoring the system for unusual network activity, Monitoring the execution of commands and arguments related to SSPs, Monitoring user account activity for suspicious login attempts,C,Monitoring commands and arguments related to SSPs directly addresses the execution of commands aimed at manipulating or exploiting SSPs, making it the most relevant detection method in this context.,				
What is the primary function of the Mimikatz credential dumper's SSP implementation?,To provide secure password storage for system users,To monitor user login attempts for suspicious activity,To extract credentials from the Local Security Authority (LSA),To enforce stricter access control policies for sensitive data,C,Mimikatz's SSP implementation aims to extract credentials from the LSA, effectively leveraging its access to sensitive information for credential theft.,				
What is the primary purpose of Kernel Modules and Extensions (LKMs and kexts) in the context of operating systems?,Extending the functionality of the kernel without rebooting,Providing root access to non-privileged users,Preventing unauthorized kernel modifications,Enabling secure communication between kernel and user space,A,Kernel Modules and Extensions are designed to enhance the kernel's capabilities without requiring a system restart.				
In the context of MITRE ATT&CK, which technique ID and name correspond to the malicious use of Kernel Modules and Extensions to achieve persistence or privilege escalation?,T1547.001, Boot or Logon Autostart Execution: Kernel Modules and Extensions,T1543,  Data from Configuration Management and Monitoring Tools,T1548,  Abuse Elevation Control Mechanism,T1059.005,  Command and Scripting Interpreter,A,This question specifically asks about the MITRE ATT&CK technique that relates to using kernel modules for persistence or privilege escalation. T1547.001 directly aligns with this description.				
Which of the following is NOT a common feature of LKM-based rootkits?,Hiding files, processes, and network activity,Enabling root access to non-privileged users,Tampering with system logs,Creating new user accounts with administrative privileges,D,LKM-based rootkits are known for hiding system information, granting unauthorized access, and manipulating logs. They typically don't focus on creating new user accounts as part of their core functionality.				
According to the provided text, what is the purpose of the kextload and kextunload commands in macOS?,To manage the loading and unloading of kernel extensions,To disable system integrity protection (SIP),To verify the digital signature of kernel extensions,To detect and remove malicious kernel modules,A,The text explicitly mentions that kextload and kextunload commands are used to manage the loading and unloading of kernel extensions.				
What security measure can help mitigate the risk of malicious Kernel Module (LKM) loading?,Enabling System Integrity Protection (SIP) on macOS,Disabling the root account,Employing application control and software restriction tools,All of the above,D,Each of the listed options contributes to mitigating the risk of malicious LKM loading: SIP on macOS strengthens security, disabling the root account limits potential abuse, and application control tools restrict the loading of unauthorized modules.				
"In the context of MITRE ATT&CK, which platform is primarily targeted by the ""Boot or Logon Autostart Execution: Kernel Modules and Extensions"" technique?,Enterprise,ICS,Mobile,All of the above,A,While the technique can be applicable across platforms, the provided text focuses on the use of kernel modules and extensions in operating systems like Linux and macOS, typically found in the Enterprise environment."				
Which command would you monitor on a Linux system to detect potential attempts to load malicious Kernel Modules?,netstat,ps,lsmod,top,C,The command 'lsmod' is specifically used to list loaded kernel modules, making it an ideal tool for monitoring for potential malicious module loading.				
"What is the purpose of the ""KextPolicy"" database in macOS?,To store a list of user-approved kernel extensions,To track the execution history of kernel extensions,To enforce digital signature verification on all kernel extensions,To prevent the loading of legacy kernel extensions,A,The text states that KextPolicy stores a list of user-approved (non-Apple) kernel extensions, indicating its primary function as a database for authorized extensions."				
Which of the following tools is NOT specifically designed for detecting Linux rootkits?,rkhunter,chrootkit,iptables,SELinux,C,iptables is a firewall tool used for network packet filtering, not specifically designed for detecting rootkits. The other options are rootkit detection tools.				
"What is the significance of monitoring for newly constructed files in the ""/lib/modules"" directory on a Linux system?,It can indicate an attempt to create new kernel modules,It can reveal the presence of recently installed system updates,It can track the creation of new system libraries,It can identify recently modified system configuration files,A,The text mentions that Kernel Modules (LKMs) are typically loaded into the ""/lib/modules"" directory, making it a key location to monitor for newly constructed files that might indicate malicious module creation. "				
"What is the MITRE ATT&CK technique ID and name for the technique described in the provided text?,T1547.001,T1547,T1059.005,T1059,A,The text describes the ""Boot or Logon Autostart Execution"" technique with the ID T1547.001 and the name ""Re-opened Applications"".,"				
"Which of the following actions by an adversary would NOT be considered a sub-technique of ""Re-opened Applications"" within the MITRE ATT&CK framework?,Adding a malicious application to the com.apple.loginwindow.[UUID].plist file,Modifying the launchd.plist file to automatically start a malicious application,Creating a scheduled task to execute a malicious application upon user login,Setting up a malicious browser extension that automatically runs on startup,D,Options A, B, and C are all techniques for achieving persistence through autostart execution, whereas option D focuses on web browser extensions.,"				
"Which of the following is NOT a valid mitigation for the ""Re-opened Applications"" technique?,Disabling the ""Reopen windows when logging back in"" option,Deleting the com.apple.loginwindow.[UUID].plist file,Disabling persistence in macOS,Holding the Shift key during login to prevent auto-opening of applications,C,Deleting the com.apple.loginwindow.[UUID].plist file is a temporary solution as it will be recreated upon the next logon. Disabling persistence in macOS, option C, would be a more effective and permanent solution.,"				
"What is the specific file that adversaries might modify to achieve persistence through the ""Re-opened Applications"" technique?,com.apple.loginwindow.[UUID].plist,launchd.plist,com.apple.system.plist,com.apple.loginitems.plist,A,The text explicitly states that adversaries modify the com.apple.loginwindow.[UUID].plist file to achieve persistence through the ""Re-opened Applications"" technique.,"				
"Which of the following would be the most effective detection method for identifying potential adversaries exploiting the ""Re-opened Applications"" technique?,Monitoring for changes in the com.apple.loginwindow.[UUID].plist file,Analyzing network traffic for suspicious connections,Auditing user login attempts,Monitoring file system activity for unusual file creations,A,The most effective detection method is monitoring for changes in the com.apple.loginwindow.[UUID].plist file as this directly indicates an attempt to manipulate the auto-reopening of applications.,"				
According to the text, which of the following actions by a user can prevent the automatic opening of applications during login?,Holding the Shift key,Holding the Control key,Holding the Option key,Holding the Command key,A,The text explicitly states that holding the Shift key while logging in prevents apps from opening automatically.,				
"Which of the following statements accurately describes the MITRE ATT&CK platform relevant to the ""Re-opened Applications"" technique?,The technique is relevant to both Enterprise and Mobile platforms,The technique is specifically applicable to the Mobile platform,The technique is applicable to the Enterprise platform,The technique is primarily focused on ICS systems,C,The provided text focuses on macOS, which is considered part of the Enterprise platform within the MITRE ATT&CK framework.,"				
"Which of the following best describes the type of persistence technique employed by the ""Re-opened Applications"" technique?,Application Persistence,User Account Persistence,Registry Persistence,Boot or Logon Autostart Execution,D,The text explicitly describes the ""Re-opened Applications"" technique as a sub-technique of ""Boot or Logon Autostart Execution"" which is categorized as a persistence technique.,"				
"Which of the following MITRE ATT&CK tactics does the ""Re-opened Applications"" technique primarily contribute to?,Persistence,Collection,Lateral Movement,Command and Control,A,The ""Re-opened Applications"" technique is primarily focused on establishing persistence, allowing the adversary to maintain access to the system even after the user logs out or restarts the device.,"				
Which of the following commands could be used to disable the automatic reopening of applications during login?,defaults write -g ApplePersistence -bool no,defaults delete com.apple.loginwindow -bool no,defaults write com.apple.loginwindow -bool no,defaults write com.apple.loginwindow.[UUID].plist -bool no,A,The text explicitly mentions that running the command `defaults write -g ApplePersistence -bool no` disables the automatic reopening of applications during login.				
Which MITRE ATT&CK technique ID and name is associated with the abuse of setuid and setgid bits to gain elevated privileges?,T1548.002, T1548.003, T1069.001, T1087,A,T1548.002 - Abuse Elevation Control Mechanism,This technique specifically describes the abuse of elevation control mechanisms like setuid and setgid bits to gain privileges.,				
What is the command used to set the setuid bit for a file via shorthand naming?,chmod u+s [file],chmod 4777 [file],chmod g+s [file],chmod 2775 [file],A,chmod u+s [file] is the shorthand command for setting the setuid bit on a file.,				
Which of the following is a tool that utilizes setuid functionality for high-privilege command execution?,Keydnap,Exaramel,Malleable C2,Metasploit,B,Exaramel, as mentioned in the text, is a Linux tool that leverages setuid functionality to execute commands with elevated privileges.,				
Which MITRE ATT&CK technique, if successful, could be exploited by an adversary to discover vulnerable binaries with setuid or setgid bits enabled?,T1083, T1548.002, T1069.001, T1087,A,T1083 - File and Directory Discovery,This technique involves identifying and exploiting vulnerable files, including those with setuid or setgid bits enabled.,				
"What is the character used to indicate the presence of the setuid or setgid bits when viewing file attributes via ls -l?,s,x,p,d,A,s, The setuid or setgid bits are represented by an ""s"" instead of an ""x"" when viewing file attributes using ls -l.,"				
What command can be used to find files with the setgid bit set on a Linux system?,find / -perm +4000 2>/dev/null,find / -perm +2000 2>/dev/null,find / -type f -perm +4000,find / -type f -perm +2000,B,find / -perm +2000 2>/dev/null, is the command used to locate files with the setgid bit enabled.,				
Which of the following is a mitigation strategy to reduce the risk of setuid and setgid vulnerabilities?,Disabling the setuid and setgid bits for all applications,Minimizing the number of programs with setuid or setgid bits enabled,Regularly patching and updating operating systems,All of the above,D,All of the above, are effective mitigation strategies to reduce the risk associated with setuid and setgid vulnerabilities.,				
Which MITRE ATT&CK tactic is most relevant to the abuse of setuid and setgid bits?,Credential Access,Execution,Persistence,Defense Evasion,B,Execution, as the abuse of setuid and setgid bits is primarily used to gain execution privileges and run code in a more privileged context.,				
What is the purpose of monitoring changes made to files that may perform shell escapes or exploit vulnerabilities in an application with setuid or setgid bits?,To detect attempts to elevate privileges,To identify suspicious activity related to malware installation,To prevent unauthorized access to sensitive data,To enforce data access control policies,A,To detect attempts to elevate privileges, as monitoring such changes helps identify actions that could exploit vulnerabilities in applications with setuid or setgid bits for privilege escalation.,				
Which of the following is a valid detection method for the abuse of setuid and setgid bits?,Monitoring file system events for changes in file permissions,Analyzing network traffic for suspicious connections,Monitoring user login attempts,Analyzing logs for system calls related to process creation,A,Monitoring file system events for changes in file permissions, as it can detect when setuid or setgid bits are modified or exploited.,				
What MITRE ATT&CK technique is described in the text, targeting the LSA Subsystem Service (LSASS) for persistence?,,T1057.002 - Boot or Logon Autostart Execution: LSASS Driver,T1053.003 - Hijack Execution Flow,T1562 -  Valid Accounts,,T1057.002 - Boot or Logon Autostart Execution: LSASS Driver,D,This technique specifically targets the LSASS driver to obtain persistence by modifying or adding drivers, as described in the text.				
Which of these is NOT a mitigation strategy for protecting LSASS from malicious drivers?,,Enabling Windows Defender Credential Guard on supported systems,Enforcing LSA Protection with the appropriate registry key,Enabling Safe DLL search mode,Enabling User Account Control (UAC),,D,UAC (User Account Control) primarily focuses on user account permissions and prompts for elevation, not directly related to LSASS driver protection. The other options are specifically mentioned as mitigation strategies in the text.				
Which procedure examples are discussed in the text, demonstrating adversary tactics for exploiting LSASS drivers?,,Pasam and Wingbird,Wingbird and Ghost,APT1 and APT3,Pasam and APT3,,A,The text mentions Pasam and Wingbird as examples of adversaries using techniques to load malicious DLLs as drivers within the LSASS environment.				
Which event logs should be monitored to detect failed attempts to load LSA plug-ins and drivers, specifically with LSA Protection enabled?,,Event IDs 3033 and 3063,Event IDs 4624 and 4625,Event IDs 4771 and 4776,Event IDs 5140 and 5145,,A,The text explicitly mentions event IDs 3033 and 3063 as indicators for monitoring failed LSA plug-in and driver loading attempts when LSA Protection is enabled.				
What is the primary purpose of enabling Safe DLL search mode (HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode)?,,To prevent lsass.exe from loading malicious code libraries,To limit the number of users who can access the LSASS process,To protect the integrity of the LSASS drivers,To enforce password complexity requirements for LSASS access,,A,Safe DLL search mode is designed to restrict where lsass.exe can load DLLs from, preventing potential malicious code libraries from being loaded into the LSASS process.				
What MITRE ATT&CK tactic does this technique (T1057.002) belong to?,,Persistence,Discovery,Execution,Credential Access,,A,The technique focuses on gaining persistent access to a system by modifying or adding LSASS drivers, making it a persistence tactic.				
Which of the following is a Sysinternals utility mentioned in the text for examining loaded drivers associated with LSA?,,Process Explorer,Autoruns/Autorunsc,FileMon,RegShot,,B,The text specifically recommends using the Sysinternals Autoruns/Autorunsc utility to analyze loaded drivers associated with the LSA.				
According to the text, what is the main component responsible for local security policy and user authentication within Windows?,,Local Security Authority (LSA),Security Accounts Manager (SAM),Windows Security Subsystem,Microsoft Security Development Lifecycle (SDL),,A,The text states that the Local Security Authority (LSA) is the primary component for managing local security policy and user authentication within Windows.				
Which of the following statements accurately describes the action of Windows Defender Credential Guard when enabled?,,It creates a virtualized environment for lsass.exe to run without any device drivers,It monitors for suspicious activity related to LSASS drivers,It enforces password complexity requirements for LSASS access,It restricts the number of users who can access the LSASS process,,A,Windows Defender Credential Guard creates an isolated virtual environment for lsass.exe, eliminating the possibility of malicious drivers directly targeting it.				
Which of the following is NOT a way to detect potential threats targeting LSASS drivers?,,Monitoring DLL load operations in lsass.exe,Monitoring for changes made to files associated with LSASS drivers,Monitoring network traffic for unusual activity,Monitoring for newly constructed files related to LSASS drivers,,C,While network traffic monitoring is essential for cybersecurity, it's not explicitly mentioned in the text as a method to detect threats specifically targeting LSASS drivers. The other options are directly related to monitoring LSASS driver-related activity.				
What is the primary method used by adversaries to establish persistence via Shortcut Modification (T1547.001) within the MITRE ATT&CK Enterprise framework?,Creating symbolic links that point to malicious executables,Exploiting vulnerabilities in the Windows registry to execute malicious code,Modifying existing shortcuts to point to malicious payloads,Using social engineering to trick users into executing malicious code,C,Adversaries exploit Shortcut Modification (T1547.001) by modifying existing shortcuts to point to malicious payloads, thus achieving persistence.,The other options do not accurately represent the technique described in the document. While option A involves symbolic links, it focuses on their creation, not modification, which is the core of T1547.001. Option B involves registry manipulation, which is not the primary method of Shortcut Modification. Option D focuses on social engineering, which is a broader tactic and not directly related to Shortcut Modification.				
What is the primary purpose of the Zone Identifier value in LNK files in the context of the Shortcut Modification (T1547.001) technique in MITRE ATT&CK Enterprise?,To identify the specific operating system version that the LNK file was created on,To determine the user who created the LNK file,To indicate the source of the LNK file, potentially highlighting a possible threat,To track the number of times the LNK file has been executed,C,The Zone Identifier value in LNK files is a crucial indicator of the source of the file. A value greater than 1 suggests the LNK file originated outside the trusted network, potentially raising concerns about its legitimacy and the possibility of malicious activity.,The other options are not accurate. The Zone Identifier value does not identify the operating system version, the user, or the execution count. Its primary purpose is to indicate the file's origin.				
Which of the following examples demonstrate the use of Shortcut Modification (T1547.001) to establish persistence within the MITRE ATT&CK Enterprise framework?,Empire modifying a .LNK file to include a backdoor,Grandoreiro writing or modifying browser shortcuts to enable launching malicious browser extensions,Reaver creating a shortcut file and saving it in a Startup folder,All of the above,D,All of the given examples demonstrate the use of Shortcut Modification (T1547.001) to establish persistence. Empire modifies shortcuts to include backdoors, Grandoreiro alters browser shortcuts to launch malicious extensions, and Reaver creates shortcuts in Startup folders, all falling under the scope of T1547.001.,Each of the examples cited directly exemplifies the principles of Shortcut Modification as outlined in the document.				
Which of the following MITRE ATT&CK Enterprise techniques, when combined with Shortcut Modification (T1547.001), allows adversaries to make malicious shortcuts appear legitimate?,Masquerading (T1036),Exfiltration (T1020),Resource Hijacking (T1083),Privilege Escalation (T1068),A,Masquerading (T1036) involves disguising malicious entities as legitimate ones. When combined with Shortcut Modification (T1547.001), adversaries can make malicious shortcuts appear like legitimate programs, increasing the likelihood of execution.,The other options are not directly related to the scenario of making shortcuts appear legitimate. Exfiltration focuses on data exfiltration, Resource Hijacking involves taking control of resources, and Privilege Escalation focuses on elevating privileges, all of which are not directly involved in disguising malicious shortcuts.				
Which of the following mitigation strategies for Shortcut Modification (T1547.001) in MITRE ATT&CK Enterprise is most effective in preventing the creation of symbolic links by non-administrative users?,Limiting permissions for who can create symbolic links through Group Policy Objects (GPO),Monitoring for suspicious LNK file creation events,Employing advanced endpoint detection and response (EDR) solutions,Implementing strong password policies for user accounts,A,Limiting permissions for symbolic link creation through GPOs effectively restricts non-administrative users from creating these links, directly mitigating the ability of adversaries to use Shortcut Modification (T1547.001).,While the other options are helpful in mitigating different aspects of cybersecurity, they are not as effective as limiting permissions for symbolic link creation. Monitoring LNK file creation, EDR solutions, and strong password policies are valuable but do not directly address the core of this technique.				
Which of the following methods is NOT typically used by adversaries to abuse Shortcut Modification (T1547.001) in the MITRE ATT&CK Enterprise framework?,Modifying existing shortcuts to point to malicious payloads,Creating new shortcuts in the Startup folder to execute malicious tools,Injecting code into legitimate shortcut files to achieve persistence,Using shortcuts to access sensitive data on the compromised system,D,While adversaries use shortcuts to achieve various objectives, accessing sensitive data on the compromised system is not a typical method associated with abusing Shortcut Modification (T1547.001). This technique primarily focuses on establishing persistence and launching malicious tools.,The other options directly align with the practices described in the document. Modifying existing shortcuts, creating new shortcuts in the Startup folder, and injecting code into shortcut files are all tactics employed to achieve persistence and launch malicious tools.				
Which of the following is a characteristic of a suspicious LNK file that may indicate potential Shortcut Modification (T1547.001) activity within the MITRE ATT&CK Enterprise framework?,A Zone Identifier value of 1,The LNK file being located in the Startup folder,The LNK file being associated with a known legitimate program,The target path of the LNK file being significantly different from the expected path for the associated program,D,A significant difference between the expected and actual target paths of the LNK file can be a strong indicator of malicious activity. This discrepancy might point to an adversary altering the shortcut to execute their own payload instead of the intended program.,The other options are not necessarily suspicious. A Zone Identifier value of 1 indicates the file originated from the trusted network. While LNK files in the Startup folder can be used for malicious purposes, their presence alone is not conclusive. Association with a known program does not automatically imply malicious intent.				
What is the primary objective of the adversary when using Shortcut Modification (T1547.001) to establish persistence within the MITRE ATT&CK Enterprise framework?,To gain initial access to the target system,To steal sensitive data from the compromised system,To disable security software on the target system,To ensure the execution of malicious code even after system reboot or user login,D,The primary objective of using Shortcut Modification (T1547.001) for persistence is to ensure the execution of malicious code even after system reboot or user login. This allows adversaries to maintain a foothold on the compromised system and continue their operations.,The other options are not the primary objectives of this technique. While the adversary might aim to gain initial access or steal data, the core purpose of Shortcut Modification (T1547.001) is to establish a persistent presence on the system. Disabling security software is a secondary objective that might be pursued once persistence is achieved.				
"Based on the provided text, which of the following groups is known to have exploited Shortcut Modification (T1547.001) for persistence in the MITRE ATT&CK Enterprise framework?,APT39,BlackEnergy 3,Gorgon Group,All of the above,D,The text explicitly mentions that APT39, BlackEnergy 3, and Gorgon Group have all used Shortcut Modification (T1547.001) to achieve persistence, making the correct answer ""All of the above"". ,The document provides clear examples of how each of these groups has utilized Shortcut Modification to establish persistence, making it clear that they have all employed this technique."				
In the context of the Shortcut Modification (T1547.001) technique in the MITRE ATT&CK Enterprise framework, which of the following events would be considered suspicious during security monitoring?,Creation of a new .LNK file in the Startup folder by a user with administrator privileges,Modification of an existing .LNK file associated with a known legitimate program, without any associated software updates,Launch of a process from the Startup folder,Creation of a new .LNK file in the Startup folder by a user with limited permissions,B,The modification of an existing .LNK file associated with a known legitimate program, without any associated software updates, is suspicious because it suggests that the shortcut might have been altered for malicious purposes. This activity is particularly suspicious when it's not related to any known software changes or updates.,The other options are not necessarily suspicious. Administrators are expected to create files in the Startup folder, and launching processes from there is common. While a user with limited permissions creating an LNK file in the Startup folder might raise eyebrows, it's not inherently suspicious without further context.				
What is the primary service that loads the adversary-supplied DLL during system boot when using the Port Monitors sub-technique of Boot or Logon Autostart Execution (T1547.004) on Windows?,spoolsv.exe,svchost.exe,lsass.exe,explorer.exe,A,The text states that the adversary-supplied DLL is loaded by the print spooler service, spoolsv.exe.				
What registry key is targeted by adversaries when using the Port Monitors sub-technique of Boot or Logon Autostart Execution (T1547.004) on Windows?,HKLM\SYSTEM\CurrentControlSet\Control\Print\Monitors,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Run,HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management,A,The text clearly states that the registry key targeted is HKLM\SYSTEM\CurrentControlSet\Control\Print\Monitors.				
What is the name of the API call that adversaries use to set a DLL to be loaded at startup when using the Port Monitors sub-technique of Boot or Logon Autostart Execution (T1547.004) on Windows?,AddMonitor,LoadLibraryEx,CreateProcess,VirtualAllocEx,A,The text explicitly mentions using the AddMonitor API call to set the DLL to be loaded at startup.				
Which of the following is NOT a recommended detection method for the Port Monitors sub-technique of Boot or Logon Autostart Execution (T1547.004) on Windows?,Monitoring process API calls to AddMonitor,Monitoring DLLs loaded by spoolsv.exe,Monitoring newly constructed files that might be used for persistence,Monitoring user logins for suspicious activity,D,The text outlines monitoring process API calls to AddMonitor, monitoring DLLs loaded by spoolsv.exe, and monitoring newly constructed files. Monitoring user logins is not specifically mentioned as a detection method for this technique.				
What level of privileges does the adversary-supplied DLL typically run with when using the Port Monitors sub-technique of Boot or Logon Autostart Execution (T1547.004) on Windows?,User,Administrator,System,Guest,C,The text states that the DLL will be loaded and run by the print spooler service under SYSTEM level permissions.				
Which of the following MITRE ATT&CK tactics is most relevant to the Port Monitors sub-technique of Boot or Logon Autostart Execution (T1547.004) on Windows?,Persistence,Lateral Movement,Command and Control,Credential Access,A,The Port Monitors technique is primarily focused on achieving persistence, as it allows an adversary to execute a DLL at system boot.				
What is the purpose of using the Autoruns utility in the context of detecting the Port Monitors sub-technique of Boot or Logon Autostart Execution (T1547.004) on Windows?,To monitor network traffic for suspicious connections,To identify malicious files that are loaded at system startup,To analyze system memory for signs of compromise,To scan for vulnerabilities in the operating system,B,Autoruns is a tool used to check for programs and registry entries that run at system startup, making it useful for detecting persistence mechanisms like Port Monitors.				
Which of the following is a valid mitigation for the Port Monitors sub-technique of Boot or Logon Autostart Execution (T1547.004) on Windows?,Disabling the print spooler service,Disabling the AddMonitor API call,Regularly reviewing the HKLM\SYSTEM\CurrentControlSet\Control\Print\Monitors registry key,Implementing application whitelisting,C,The text explicitly states that the Port Monitors technique cannot be easily mitigated with preventive controls. However, regularly reviewing the relevant registry key can help detect potential misuse.				
What is the recommended approach for detecting the Port Monitors sub-technique of Boot or Logon Autostart Execution (T1547.004) on Windows? Choose the most effective option.,Monitoring the creation of new DLLs in the System32 directory,Analyzing system logs for suspicious events,Monitoring the execution of spoolsv.exe,Using a network intrusion detection system,A,The text recommends monitoring new DLLs written to the System32 directory for suspicious activity, as this is a key indicator of this specific technique.				
What is the primary advantage of using the Port Monitors sub-technique of Boot or Logon Autostart Execution (T1547.004) on Windows?,It allows an adversary to escalate privileges to SYSTEM level,It enables an adversary to bypass security software,It provides an adversary with persistence on the compromised system,It allows an adversary to steal sensitive data,C,The Port Monitors technique primarily focuses on achieving persistence by running a DLL at system boot, ensuring the adversary's presence even after a reboot.				
What is the primary objective of the TA0001: Initial Access technique within the MITRE ATT&CK framework, specifically targeting enterprise environments?,,Establish a foothold on a target network.,Gain unauthorized access to sensitive information.,Disrupt critical network services.,Bypass security controls.,A,The primary goal of Initial Access is to establish a foothold on a target network.,				
According to the MITRE ATT&CK framework, which of the following techniques is NOT categorized under the TA0002: Execution phase?,,Process Injection (T1055),Command and Scripting Interpreter (T1059),Remote Services (T1190),Credential Dumping (T1003),D,Credential Dumping (T1003) falls under the TA1003: Credential Access phase, not TA0002: Execution.,				
Within the MITRE ATT&CK framework, what is the main purpose of the TA0004: Privilege Escalation technique in enterprise environments?,,To gain access to sensitive data.,To install malware on the target system.,To elevate privileges to gain unauthorized access.,To hide malicious activity from detection.,C,Privilege Escalation (TA0004) focuses on elevating privileges to gain unauthorized access, giving attackers more control over the compromised system.,				
In the context of the MITRE ATT&CK framework, what is the primary difference between the TA0005: Defense Evasion and TA0006: Persistence techniques?,,Defense Evasion aims to evade detection, while Persistence focuses on maintaining access.,Defense Evasion involves removing traces of malicious activity, while Persistence aims to establish a permanent foothold.,Defense Evasion targets user accounts, while Persistence focuses on system configurations.,Defense Evasion relies on social engineering, while Persistence utilizes exploits.,A,Defense Evasion (TA0005) focuses on evading detection, while Persistence (TA0006) aims to maintain access to the compromised system.,				
What is the primary function of the T1055: Process Injection technique, as categorized within the MITRE ATT&CK framework for enterprise environments?,,To bypass security controls by injecting malicious code into legitimate processes.,To exploit vulnerabilities in operating systems to gain access.,To remotely execute commands on compromised systems.,To disable antivirus software and other security measures.,A,Process Injection (T1055) aims to bypass security controls by injecting malicious code into legitimate processes.,				
The MITRE ATT&CK framework classifies the T1135:  External Remote Services technique under which of the following phases?,,Initial Access,Execution,Command and Control,Credential Access,C,The T1135: External Remote Services technique is classified under Command and Control (C2) within the MITRE ATT&CK framework.,				
According to the MITRE ATT&CK framework, which of the following techniques is NOT associated with the TA0008:  Command and Control phase?,,Process Injection (T1055),Remote Access Tools (T1021),Data Staged (T1074),Web Shells (T1501),A,Process Injection (T1055) falls under the TA0002: Execution phase, not TA0008: Command and Control.,				
Within the MITRE ATT&CK framework, which technique is specifically designed to circumvent detection by security products and analysts?,,T1055: Process Injection,T1059: Command and Scripting Interpreter,T1074: Data Staged,T1501: Web Shells,D,T1501: Web Shells is designed to circumvent detection by security products and analysts, as it enables attackers to execute commands on a web server without triggering alarms.,				
In the context of the MITRE ATT&CK framework, which of the following techniques is primarily used to obtain sensitive information, such as credentials and data?,,T1055: Process Injection,T1074: Data Staged,T1003: Credential Dumping,T1501: Web Shells,C,T1003: Credential Dumping focuses on obtaining sensitive information like credentials and data.,				
According to the MITRE ATT&CK framework, which of the following techniques is utilized to maintain persistent access to a compromised system?,,T1074: Data Staged,T1055: Process Injection,T1059: Command and Scripting Interpreter,T1501: Web Shells,C,T1059: Command and Scripting Interpreter is used to maintain persistent access to a compromised system, as it allows attackers to execute commands remotely.,				
What is the name of the API call used to install a print processor?,AddPrintProcessor,GetPrintProcessorDirectory,Spoolsv,SetPrintProcessor,A,The AddPrintProcessor API call is used to install a print processor.				
Which registry key is modified to register a print processor?,HKLM\SYSTEM\CurrentControlSet\Control\Print\Environments\[Windows architecture]\Print Processors\[user defined]\Driver,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Print,HKLM\SYSTEM\CurrentControlSet\Control\Print\Providers,HKLM\SYSTEM\CurrentControlSet\Control\Print\Monitors,A,The HKLM\SYSTEM\CurrentControlSet\Control\Print\Environments\[Windows architecture]\Print Processors\[user defined]\Driver registry key is used to register a print processor.				
Which of the following is NOT a mitigation against the abuse of print processors?,Disabling SeLoadDriverPrivilege,Monitoring for unusual kernel driver installation activity,Enabling Windows Defender,Monitoring for newly constructed files that may abuse print processors,C,Enabling Windows Defender is not a direct mitigation against the abuse of print processors.				
What privilege is required to install a print processor?,SeLoadDriverPrivilege,SeDebugPrivilege,SeImpersonatePrivilege,SeTcbPrivilege,A,The SeLoadDriverPrivilege is required to install a print processor.				
Which of the following is NOT a detection method for print processor abuse?,Monitoring process API calls to AddPrintProcessor,Monitoring for abnormal DLLs that are loaded by spoolsv.exe,Monitoring for new print processor DLLs written to the print processor directory,Monitoring for registry changes in the HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Print key,D,The HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Print key is not directly related to print processor installations.				
What is the name of the print spooler service?,spoolsv.exe,printspooler.exe,printmanager.exe,winprint.exe,A,The print spooler service is named spoolsv.exe.				
